station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
1.742957711220e+00,4.836680908203e-01,1.915190840984e-02,4.645161837877e-01,0.000000000000e+00
1.774647831917e+00,5.624031982422e-01,1.950012471204e-02,5.429030706220e-01,0.000000000000e+00
1.806338071823e+00,6.524174804688e-01,1.984834232413e-02,6.325690957462e-01,0.000000000000e+00
1.838028192520e+00,7.543406982422e-01,2.019655862633e-02,7.341441800579e-01,0.000000000000e+00
1.869718313217e+00,8.686708984375e-01,2.054477492852e-02,8.481261129646e-01,0.000000000000e+00
1.901408433914e+00,9.957429199219e-01,2.089299123072e-02,9.748498998927e-01,0.000000000000e+00
1.933098554611e+00,1.135701904297e+00,2.124120753292e-02,1.114460711150e+00,0.000000000000e+00
1.964788675308e+00,1.288479492188e+00,2.158942383511e-02,1.266890006018e+00,0.000000000000e+00
1.996478915215e+00,1.453774902344e+00,2.193764144720e-02,1.431837240518e+00,0.000000000000e+00
2.028168916702e+00,1.631040039062e+00,2.228585643951e-02,1.608754178536e+00,0.000000000000e+00
2.059859037399e+00,1.819480468750e+00,2.263407274170e-02,1.796846325194e+00,0.000000000000e+00
2.091549396515e+00,2.018053833008e+00,2.298229166368e-02,1.995071525320e+00,0.000000000000e+00
2.123239517212e+00,2.225480468750e+00,2.333050796588e-02,2.202149899488e+00,0.000000000000e+00
2.154929637909e+00,2.440272705078e+00,2.367872426808e-02,2.416593836033e+00,0.000000000000e+00
2.186619758606e+00,2.660759277344e+00,2.402694057027e-02,2.636732361930e+00,0.000000000000e+00
2.218309879303e+00,2.885147705078e+00,2.437515687247e-02,2.860750629769e+00,2.186496298995e-05
2.250000000000e+00,3.111641601562e+00,2.472337317467e-02,3.086734242144e+00,1.839073537275e-04
2.269771814346e+00,3.253454345703e+00,2.494062914997e-02,3.228036443422e+00,4.771271395771e-04
2.289543628693e+00,3.395407226562e+00,2.515788512527e-02,3.369338644699e+00,9.105103588507e-04
2.309315681458e+00,3.537383789062e+00,2.537514372035e-02,3.510642549870e+00,1.365759188654e-03
2.329087495804e+00,3.679358398438e+00,2.559239969565e-02,3.651944751148e+00,1.821002528902e-03
2.348859310150e+00,3.821333007813e+00,2.580965567095e-02,3.793246952425e+00,2.276245869149e-03
2.368631124496e+00,3.963307617188e+00,2.602691164625e-02,3.934549129567e+00,2.731489209397e-03
2.388402938843e+00,4.105282226563e+00,2.624416762155e-02,4.075851287401e+00,3.186732549645e-03
2.408174991608e+00,4.247258789063e+00,2.646142621663e-02,4.217155149128e+00,3.641981379448e-03
2.427946805954e+00,4.389233398437e+00,2.667868219193e-02,4.358457331097e+00,4.097224719696e-03
2.447718620300e+00,4.531208007813e+00,2.689593816723e-02,4.499759517893e+00,4.552468059944e-03
2.467490434647e+00,4.673182617187e+00,2.711319414253e-02,4.641061680554e+00,5.007711400191e-03
2.487262248993e+00,4.815157226562e+00,2.733045011783e-02,4.782363862523e+00,5.462954740439e-03
2.507034301758e+00,4.957133789062e+00,2.754770871291e-02,4.923667767694e+00,5.918203570242e-03
2.526806116104e+00,5.099108398438e+00,2.776496468821e-02,5.064969944836e+00,6.373446910490e-03
2.546577930450e+00,5.241083007812e+00,2.798222066351e-02,5.206272102670e+00,6.828690250738e-03
2.566349744797e+00,5.383057617188e+00,2.819947663881e-02,5.347574265330e+00,7.283933590986e-03
2.586121797562e+00,5.525034179688e+00,2.841673523389e-02,5.488878131884e+00,7.739182420789e-03
2.605893611908e+00,5.667008789062e+00,2.863399120919e-02,5.630180294545e+00,8.194425761036e-03
2.625665426254e+00,5.808983398438e+00,2.885124718449e-02,5.771482476514e+00,8.649669101284e-03
2.645437240601e+00,5.950958007812e+00,2.906850315979e-02,5.912784634348e+00,9.104912441532e-03
2.665209054947e+00,6.092932617187e+00,2.928575913509e-02,6.054086797008e+00,9.560155781780e-03
2.684981107712e+00,6.234909179687e+00,2.950301773017e-02,6.195390687698e+00,1.001540461158e-02
2.704752922058e+00,6.376883789063e+00,2.972027370547e-02,6.336692869667e+00,1.047064795183e-02
2.724524736404e+00,6.518858398437e+00,2.993752968077e-02,6.477995046809e+00,1.092589129208e-02
2.744296550751e+00,6.660833007813e+00,3.015478565607e-02,6.619297223951e+00,1.138113463233e-02
2.764068365097e+00,6.802807617187e+00,3.037204163137e-02,6.760599405920e+00,1.183637797257e-02
2.783840417862e+00,6.944784179687e+00,3.058930022645e-02,6.901903296610e+00,1.229162680238e-02
2.803612232208e+00,7.086758789063e+00,3.080655620175e-02,7.043205483406e+00,1.274687014262e-02
